age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,was_previously_contacted,last_contact_category,previous_contact_category,client_status
54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,1,171,2,failure,no,1,long_ago,few_times,failure
52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,1,117,2,other,no,1,long_ago,few_times,failure
48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,1,164,2,success,no,1,long_ago,few_times,failure
45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,1,132,1,failure,no,1,long_ago,contacted_once,failure
39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,1,129,2,failure,no,1,long_ago,few_times,failure
39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
37,management,married,tertiary,yes,0,no,no,cellular,17,nov,1,123,2,failure,no,1,long_ago,few_times,failure
49,management,married,tertiary,no,64,no,no,cellular,17,nov,1,159,1,success,no,1,long_ago,contacted_once,failure
58,admin.,married,unknown,no,0,yes,no,cellular,17,nov,1,186,2,failure,no,1,long_ago,few_times,failure
43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,1,186,1,failure,no,1,long_ago,contacted_once,failure
35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,1,167,16,other,no,1,long_ago,many_times,failure
50,management,married,secondary,no,633,no,yes,telephone,17,nov,1,111,6,failure,no,1,long_ago,many_times,failure
42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,1,115,5,other,no,1,long_ago,many_times,failure
56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,1,172,2,failure,no,1,long_ago,few_times,failure
51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,1,111,2,failure,no,1,long_ago,few_times,failure
50,technician,single,secondary,no,246,yes,no,cellular,17,nov,1,123,2,failure,no,1,long_ago,few_times,failure
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,1,116,1,failure,no,1,long_ago,contacted_once,failure
40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,2,173,1,failure,no,1,long_ago,contacted_once,failure
30,management,married,tertiary,no,101,yes,no,cellular,17,nov,1,123,1,failure,no,1,long_ago,contacted_once,failure
39,management,married,tertiary,no,500,yes,no,cellular,17,nov,1,178,2,other,no,1,long_ago,few_times,failure
36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,1,166,10,failure,no,1,long_ago,many_times,failure
34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,1,164,3,failure,no,1,long_ago,few_times,failure
48,management,single,tertiary,no,8106,no,no,unknown,17,nov,1,111,3,failure,no,1,long_ago,few_times,failure
59,management,married,tertiary,no,0,no,no,cellular,17,nov,2,110,2,failure,no,1,long_ago,few_times,failure
53,services,married,secondary,no,1364,no,no,cellular,17,nov,1,115,1,failure,no,1,long_ago,contacted_once,failure
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,1,152,1,failure,no,1,long_ago,contacted_once,failure
52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,1,115,1,failure,no,1,long_ago,contacted_once,failure
58,retired,married,secondary,no,8332,no,no,unknown,17,nov,2,96,4,failure,no,1,long_ago,many_times,failure
56,technician,divorced,secondary,no,689,yes,no,cellular,17,nov,1,103,4,failure,no,1,long_ago,many_times,failure
49,management,divorced,tertiary,no,2370,yes,yes,unknown,17,nov,1,103,2,other,no,1,long_ago,few_times,failure
34,admin.,single,secondary,no,0,yes,no,cellular,17,nov,1,174,2,failure,no,1,long_ago,few_times,failure
32,admin.,single,secondary,no,4344,yes,no,cellular,17,nov,2,118,3,failure,no,1,long_ago,few_times,failure
54,technician,married,secondary,no,472,yes,yes,unknown,17,nov,2,150,1,failure,no,1,long_ago,contacted_once,failure
59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,1,188,1,other,no,1,long_ago,contacted_once,failure
59,management,married,primary,no,252,yes,yes,cellular,17,nov,1,175,2,failure,no,1,long_ago,few_times,failure
40,technician,married,secondary,no,0,yes,no,cellular,17,nov,2,196,1,failure,no,1,long_ago,contacted_once,failure
45,management,married,secondary,no,4425,no,no,unknown,17,nov,1,110,2,failure,no,1,long_ago,few_times,failure
43,technician,divorced,secondary,no,-36,yes,no,cellular,17,nov,1,104,1,failure,no,1,long_ago,contacted_once,failure
43,technician,married,secondary,no,0,no,yes,cellular,17,nov,2,193,3,failure,no,1,long_ago,few_times,failure
55,entrepreneur,divorced,tertiary,no,1730,no,no,cellular,17,nov,2,118,3,failure,no,1,long_ago,few_times,failure
49,services,married,secondary,no,202,yes,no,cellular,17,nov,2,104,1,failure,yes,1,long_ago,contacted_once,possible_client_category
49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,2,188,2,failure,no,1,long_ago,few_times,failure
39,blue-collar,single,primary,no,419,yes,no,cellular,17,nov,1,181,1,failure,no,1,long_ago,contacted_once,failure
42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,1,103,4,success,no,1,long_ago,many_times,failure
56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,2,165,2,other,no,1,long_ago,few_times,failure
44,admin.,married,secondary,no,4826,yes,no,cellular,17,nov,1,185,4,other,no,1,long_ago,many_times,failure
42,services,married,secondary,no,1048,yes,no,cellular,17,nov,1,186,1,failure,no,1,long_ago,contacted_once,failure
41,technician,married,secondary,no,112,yes,no,cellular,17,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
51,technician,married,secondary,no,563,yes,no,cellular,17,nov,1,123,3,failure,no,1,long_ago,few_times,failure
36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,1,181,2,failure,no,1,long_ago,few_times,failure
52,technician,married,tertiary,no,3440,yes,no,cellular,17,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
42,entrepreneur,married,tertiary,no,373,no,no,cellular,17,nov,1,154,3,failure,no,1,long_ago,few_times,failure
45,technician,married,secondary,no,2020,yes,no,cellular,17,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
35,entrepreneur,married,secondary,no,24,yes,no,cellular,17,nov,1,181,1,failure,no,1,long_ago,contacted_once,failure
38,management,married,tertiary,no,425,yes,no,cellular,17,nov,1,181,1,failure,no,1,long_ago,contacted_once,failure
47,technician,married,secondary,no,80,no,yes,cellular,17,nov,1,145,1,failure,no,1,long_ago,contacted_once,failure
43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
33,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,3,181,1,other,no,1,long_ago,contacted_once,failure
40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,1,171,5,other,no,1,long_ago,many_times,failure
42,unemployed,married,unknown,no,970,yes,no,telephone,17,nov,1,119,10,success,no,1,long_ago,many_times,failure
54,technician,married,secondary,no,899,no,yes,cellular,17,nov,1,145,1,other,no,1,long_ago,contacted_once,failure
50,management,married,tertiary,no,830,no,no,cellular,17,nov,1,138,2,failure,no,1,long_ago,few_times,failure
54,services,married,secondary,no,2719,yes,no,cellular,17,nov,2,171,2,failure,no,1,long_ago,few_times,failure
44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,1,195,2,failure,no,1,long_ago,few_times,failure
43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,1,171,2,other,no,1,long_ago,few_times,failure
51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,2,126,3,failure,no,1,long_ago,few_times,failure
51,technician,married,secondary,no,12061,yes,no,cellular,17,nov,1,188,1,failure,no,1,long_ago,contacted_once,failure
42,technician,single,secondary,no,-15,no,no,cellular,17,nov,1,145,1,failure,no,1,long_ago,contacted_once,failure
46,services,divorced,secondary,no,0,no,no,cellular,17,nov,1,150,3,success,no,1,long_ago,few_times,failure
50,management,married,tertiary,no,4,no,no,cellular,17,nov,1,96,2,failure,no,1,long_ago,few_times,failure
58,unknown,divorced,secondary,no,3111,yes,no,cellular,17,nov,1,188,2,failure,no,1,long_ago,few_times,failure
44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,3,150,12,failure,no,1,long_ago,many_times,failure
41,unemployed,married,primary,no,557,yes,no,cellular,17,nov,1,173,1,failure,no,1,long_ago,contacted_once,failure
37,management,single,tertiary,no,600,yes,no,cellular,17,nov,2,196,1,failure,no,1,long_ago,contacted_once,failure
53,admin.,married,secondary,no,350,no,yes,cellular,17,nov,3,132,2,failure,no,1,long_ago,few_times,failure
53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,1,126,3,failure,no,1,long_ago,few_times,failure
52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,2,111,4,failure,no,1,long_ago,many_times,failure
36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,1,193,1,success,no,1,long_ago,contacted_once,failure
37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,2,119,1,failure,no,1,long_ago,contacted_once,failure
44,management,married,tertiary,no,58,yes,no,cellular,17,nov,1,126,3,failure,no,1,long_ago,few_times,failure
59,management,divorced,tertiary,no,3552,yes,no,cellular,17,nov,1,123,7,other,no,1,long_ago,many_times,failure
32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,2,195,2,failure,no,1,long_ago,few_times,failure
41,management,married,tertiary,no,20,yes,no,cellular,17,nov,1,151,2,failure,no,1,long_ago,few_times,failure
37,services,married,secondary,yes,-954,yes,no,cellular,17,nov,1,180,3,failure,no,1,long_ago,few_times,failure
43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,1,129,2,failure,no,1,long_ago,few_times,failure
51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,1,195,1,failure,no,1,long_ago,contacted_once,failure
56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,1,172,2,failure,no,1,long_ago,few_times,failure
44,services,married,secondary,no,3843,yes,no,cellular,17,nov,1,150,2,other,no,1,long_ago,few_times,failure
56,management,single,primary,no,109,no,yes,telephone,17,nov,1,129,18,other,no,1,long_ago,many_times,failure
39,self-employed,married,tertiary,no,5,yes,no,cellular,17,nov,2,131,1,other,no,1,long_ago,contacted_once,failure
38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,2,180,1,failure,no,1,long_ago,contacted_once,failure
42,technician,married,primary,no,275,no,no,cellular,17,nov,2,109,9,failure,no,1,long_ago,many_times,failure
34,management,single,tertiary,no,1049,yes,no,cellular,17,nov,2,129,1,failure,no,1,long_ago,contacted_once,failure
51,blue-collar,married,secondary,no,1414,yes,no,unknown,17,nov,3,186,2,failure,no,1,long_ago,few_times,failure
38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,2,193,2,failure,no,1,long_ago,few_times,failure
38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,2,101,3,failure,no,1,long_ago,few_times,failure
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,2,150,1,success,yes,1,long_ago,contacted_once,possible_client_category
41,blue-collar,married,secondary,no,271,yes,no,cellular,17,nov,2,172,2,failure,no,1,long_ago,few_times,failure
57,technician,married,secondary,no,1158,no,no,unknown,17,nov,2,109,21,other,no,1,long_ago,many_times,failure
48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,5,167,6,failure,no,1,long_ago,many_times,failure
54,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,2,119,1,failure,no,1,long_ago,contacted_once,failure
55,entrepreneur,married,secondary,no,653,yes,no,cellular,17,nov,2,186,1,failure,no,1,long_ago,contacted_once,failure
38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,2,171,2,failure,no,1,long_ago,few_times,failure
50,technician,divorced,secondary,no,-403,no,yes,cellular,17,nov,2,119,2,failure,no,1,long_ago,few_times,failure
42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,2,151,1,failure,no,1,long_ago,contacted_once,failure
40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,2,117,3,failure,no,1,long_ago,few_times,failure
38,admin.,married,secondary,no,0,no,no,telephone,17,nov,2,158,8,other,no,1,long_ago,many_times,failure
57,management,married,secondary,no,1502,no,no,telephone,17,nov,2,109,11,failure,no,1,long_ago,many_times,failure
30,technician,single,secondary,no,426,yes,no,telephone,17,nov,4,111,6,failure,no,1,long_ago,many_times,failure
56,management,single,secondary,no,237,yes,no,telephone,17,nov,3,131,4,failure,no,1,long_ago,many_times,failure
39,technician,married,secondary,no,8,no,yes,cellular,17,nov,2,96,2,failure,no,1,long_ago,few_times,failure
43,services,divorced,secondary,no,1043,yes,no,cellular,17,nov,4,119,3,failure,no,1,long_ago,few_times,failure
42,services,married,secondary,no,1027,yes,no,telephone,17,nov,2,168,2,failure,no,1,long_ago,few_times,failure
44,management,married,tertiary,no,724,yes,no,cellular,17,nov,2,172,1,failure,no,1,long_ago,contacted_once,failure
36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,2,131,1,failure,no,1,long_ago,contacted_once,failure
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,2,196,1,failure,no,1,long_ago,contacted_once,failure
48,technician,married,unknown,no,2106,yes,no,cellular,17,nov,2,195,1,failure,no,1,long_ago,contacted_once,failure
43,management,married,tertiary,no,2767,yes,no,cellular,17,nov,1,186,7,failure,no,1,long_ago,many_times,failure
40,technician,married,secondary,no,1269,yes,no,cellular,17,nov,1,172,1,failure,no,1,long_ago,contacted_once,failure
56,services,married,secondary,no,1150,no,yes,cellular,17,nov,1,117,3,failure,no,1,long_ago,few_times,failure
37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,2,171,4,failure,yes,1,long_ago,many_times,possible_client_category
56,management,single,tertiary,no,1092,yes,yes,cellular,17,nov,3,186,4,failure,no,1,long_ago,many_times,failure
37,management,married,secondary,no,121,no,yes,cellular,17,nov,2,151,2,failure,no,1,long_ago,few_times,failure
58,blue-collar,divorced,secondary,no,644,no,yes,cellular,17,nov,4,109,4,failure,no,1,long_ago,many_times,failure
45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,2,126,2,failure,yes,1,long_ago,few_times,possible_client_category
50,technician,married,secondary,no,0,yes,no,cellular,17,nov,4,168,2,failure,no,1,long_ago,few_times,failure
46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,3,150,5,other,no,1,long_ago,many_times,failure
44,technician,divorced,secondary,no,106,yes,no,unknown,17,nov,1,175,1,failure,no,1,long_ago,contacted_once,failure
35,services,divorced,secondary,no,204,yes,no,cellular,17,nov,1,186,9,other,no,1,long_ago,many_times,failure
40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,1,117,1,failure,no,1,long_ago,contacted_once,failure
43,technician,married,tertiary,no,1201,yes,yes,cellular,18,nov,1,97,3,failure,no,1,long_ago,few_times,failure
40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,1,182,1,failure,no,1,long_ago,contacted_once,failure
36,housemaid,married,primary,no,4324,yes,no,cellular,18,nov,4,127,4,failure,no,1,long_ago,many_times,failure
44,management,married,tertiary,no,756,yes,no,cellular,18,nov,1,130,2,failure,no,1,long_ago,few_times,failure
37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,1,110,2,failure,no,1,long_ago,few_times,failure
37,technician,married,secondary,no,195,yes,no,cellular,18,nov,1,194,2,failure,no,1,long_ago,few_times,failure
41,technician,married,secondary,no,3275,yes,no,cellular,18,nov,1,168,1,other,no,1,long_ago,contacted_once,failure
42,entrepreneur,married,tertiary,no,2249,yes,no,telephone,18,nov,1,125,5,failure,no,1,long_ago,many_times,failure
53,technician,married,secondary,no,137,no,yes,cellular,18,nov,1,176,1,failure,no,1,long_ago,contacted_once,failure
44,technician,married,secondary,no,10888,yes,no,cellular,18,nov,1,105,1,failure,no,1,long_ago,contacted_once,failure
41,admin.,married,secondary,no,4320,yes,no,cellular,18,nov,1,166,2,failure,no,1,long_ago,few_times,failure
41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,1,165,2,success,no,1,long_ago,few_times,failure
45,technician,single,unknown,no,7108,yes,yes,cellular,18,nov,1,172,3,failure,no,1,long_ago,few_times,failure
48,management,married,secondary,no,4415,yes,no,cellular,18,nov,1,102,6,failure,no,1,long_ago,many_times,failure
58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,3,172,3,other,no,1,long_ago,few_times,failure
56,technician,married,secondary,no,589,yes,no,cellular,18,nov,1,26,3,success,no,1,moderate,few_times,failure
34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,1,193,1,other,no,1,long_ago,contacted_once,failure
39,admin.,single,tertiary,no,283,yes,no,cellular,18,nov,1,179,3,other,no,1,long_ago,few_times,failure
36,technician,married,secondary,no,154,yes,no,cellular,18,nov,1,96,2,other,no,1,long_ago,few_times,failure
47,management,divorced,tertiary,no,428,yes,no,cellular,18,nov,1,167,1,other,no,1,long_ago,contacted_once,failure
36,blue-collar,married,unknown,no,722,yes,no,cellular,18,nov,1,182,2,failure,no,1,long_ago,few_times,failure
42,admin.,single,secondary,no,-247,yes,yes,cellular,18,nov,2,28,2,success,no,1,moderate,few_times,failure
37,technician,married,secondary,no,0,yes,no,cellular,18,nov,1,179,6,failure,no,1,long_ago,many_times,failure
35,management,single,secondary,no,5260,yes,no,cellular,18,nov,1,182,2,failure,no,1,long_ago,few_times,failure
33,technician,single,secondary,no,1769,yes,no,cellular,18,nov,1,182,1,failure,no,1,long_ago,contacted_once,failure
46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,1,183,2,failure,no,1,long_ago,few_times,failure
46,technician,married,secondary,no,68,yes,yes,cellular,18,nov,2,155,3,failure,no,1,long_ago,few_times,failure
36,admin.,divorced,secondary,no,454,yes,no,cellular,18,nov,1,131,1,failure,no,1,long_ago,contacted_once,failure
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,1,195,1,failure,no,1,long_ago,contacted_once,failure
38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,1,110,5,failure,no,1,long_ago,many_times,failure
37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,1,165,2,failure,no,1,long_ago,few_times,failure
59,entrepreneur,married,secondary,no,2429,no,yes,cellular,18,nov,2,182,7,failure,no,1,long_ago,many_times,failure
40,services,divorced,secondary,no,1155,no,yes,cellular,18,nov,1,138,1,failure,no,1,long_ago,contacted_once,failure
59,blue-collar,married,primary,no,14,yes,yes,cellular,18,nov,2,182,1,failure,no,1,long_ago,contacted_once,failure
36,management,single,tertiary,no,0,no,yes,cellular,18,nov,1,96,4,failure,no,1,long_ago,many_times,failure
51,blue-collar,married,primary,no,1194,yes,no,cellular,18,nov,1,186,3,failure,no,1,long_ago,few_times,failure
45,blue-collar,single,secondary,no,91,no,yes,cellular,18,nov,1,127,2,failure,no,1,long_ago,few_times,failure
38,management,single,tertiary,no,427,yes,no,cellular,18,nov,1,182,1,failure,no,1,long_ago,contacted_once,failure
42,blue-collar,married,secondary,no,1958,yes,no,cellular,18,nov,1,172,3,failure,no,1,long_ago,few_times,failure
30,technician,single,tertiary,no,3,yes,no,cellular,18,nov,1,195,1,failure,no,1,long_ago,contacted_once,failure
51,self-employed,married,tertiary,no,146,no,no,cellular,18,nov,2,126,3,failure,no,1,long_ago,few_times,failure
37,management,married,tertiary,no,3770,yes,no,cellular,18,nov,1,110,4,failure,no,1,long_ago,many_times,failure
41,services,married,secondary,no,446,yes,no,cellular,18,nov,1,186,1,success,no,1,long_ago,contacted_once,failure
33,admin.,divorced,secondary,no,661,yes,no,cellular,18,nov,1,173,2,other,no,1,long_ago,few_times,failure
30,technician,single,secondary,no,4787,yes,no,cellular,18,nov,1,167,2,failure,no,1,long_ago,few_times,failure
36,technician,married,secondary,no,1345,yes,no,cellular,18,nov,1,172,3,failure,no,1,long_ago,few_times,failure
58,management,married,tertiary,no,0,yes,no,cellular,18,nov,1,188,1,failure,no,1,long_ago,contacted_once,failure
42,blue-collar,married,primary,no,2273,yes,no,cellular,18,nov,1,112,2,failure,no,1,long_ago,few_times,failure
41,blue-collar,married,secondary,no,1100,yes,no,cellular,18,nov,1,173,2,failure,no,1,long_ago,few_times,failure
43,technician,married,secondary,no,764,yes,no,cellular,18,nov,5,127,5,failure,no,1,long_ago,many_times,failure
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,1,182,1,other,yes,1,long_ago,contacted_once,possible_client_category
48,services,married,secondary,no,2877,yes,no,cellular,18,nov,1,168,1,failure,no,1,long_ago,contacted_once,failure
30,technician,single,secondary,yes,-305,no,yes,cellular,18,nov,1,96,6,failure,no,1,long_ago,many_times,failure
31,technician,married,tertiary,no,26,no,yes,cellular,18,nov,1,127,6,other,yes,1,long_ago,many_times,possible_client_category
43,technician,single,secondary,yes,685,yes,no,cellular,18,nov,1,110,2,failure,no,1,long_ago,few_times,failure
34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,1,173,3,failure,no,1,long_ago,few_times,failure
35,management,married,tertiary,no,1041,no,no,cellular,18,nov,1,120,3,other,no,1,long_ago,few_times,failure
36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,1,137,1,other,no,1,long_ago,contacted_once,failure
44,management,married,primary,no,1880,yes,no,cellular,18,nov,1,124,6,failure,no,1,long_ago,many_times,failure
45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,1,110,3,other,no,1,long_ago,few_times,failure
36,management,married,tertiary,no,0,yes,no,cellular,18,nov,1,175,2,failure,no,1,long_ago,few_times,failure
33,blue-collar,married,secondary,no,596,yes,no,cellular,18,nov,1,127,3,failure,no,1,long_ago,few_times,failure
47,admin.,married,secondary,no,829,yes,yes,cellular,18,nov,1,188,1,failure,no,1,long_ago,contacted_once,failure
47,blue-collar,married,secondary,no,3237,yes,no,cellular,18,nov,1,187,3,failure,no,1,long_ago,few_times,failure
35,technician,married,secondary,no,222,yes,no,cellular,18,nov,1,190,6,failure,no,1,long_ago,many_times,failure
39,admin.,married,secondary,no,3732,yes,no,cellular,18,nov,1,181,2,failure,no,1,long_ago,few_times,failure
39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,1,181,3,failure,no,1,long_ago,few_times,failure
31,services,single,secondary,no,2038,yes,no,cellular,18,nov,1,182,1,failure,no,1,long_ago,contacted_once,failure
37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,nov,1,172,2,failure,no,1,long_ago,few_times,failure
50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,1,175,2,failure,no,1,long_ago,few_times,failure
39,management,divorced,tertiary,no,5009,yes,no,cellular,18,nov,1,126,2,failure,no,1,long_ago,few_times,failure
56,admin.,divorced,secondary,no,0,no,no,cellular,18,nov,1,154,2,failure,no,1,long_ago,few_times,failure
30,admin.,divorced,secondary,no,83,yes,yes,cellular,18,nov,2,196,1,failure,no,1,long_ago,contacted_once,failure
53,entrepreneur,married,unknown,no,19850,no,no,cellular,18,nov,1,165,1,failure,no,1,long_ago,contacted_once,failure
45,blue-collar,married,primary,no,147,yes,no,cellular,18,nov,1,168,2,failure,no,1,long_ago,few_times,failure
33,blue-collar,married,secondary,no,157,yes,no,cellular,18,nov,1,182,1,failure,no,1,long_ago,contacted_once,failure
45,technician,married,secondary,no,3395,yes,no,cellular,18,nov,1,188,1,failure,no,1,long_ago,contacted_once,failure
39,housemaid,married,primary,no,694,yes,yes,cellular,18,nov,1,168,2,other,no,1,long_ago,few_times,failure
37,blue-collar,single,secondary,no,690,yes,no,cellular,18,nov,1,179,2,failure,no,1,long_ago,few_times,failure
37,services,single,secondary,no,54,yes,no,cellular,18,nov,2,131,1,failure,no,1,long_ago,contacted_once,failure
33,technician,single,tertiary,no,179,yes,no,cellular,18,nov,2,181,4,other,no,1,long_ago,many_times,failure
40,services,single,secondary,no,326,yes,no,cellular,18,nov,1,175,1,failure,no,1,long_ago,contacted_once,failure
45,technician,married,secondary,no,1441,yes,no,cellular,18,nov,1,113,2,other,no,1,long_ago,few_times,failure
39,technician,married,secondary,no,484,no,yes,cellular,18,nov,1,113,3,other,no,1,long_ago,few_times,failure
38,blue-collar,married,secondary,no,-288,yes,yes,cellular,18,nov,1,165,2,failure,no,1,long_ago,few_times,failure
41,technician,married,secondary,no,2123,no,no,cellular,18,nov,1,102,2,failure,no,1,long_ago,few_times,failure
44,technician,married,secondary,no,1901,no,no,cellular,18,nov,3,104,2,failure,no,1,long_ago,few_times,failure
41,blue-collar,married,secondary,no,1954,no,no,cellular,18,nov,1,110,2,success,no,1,long_ago,few_times,failure
45,management,single,tertiary,no,16,no,no,cellular,18,nov,1,110,2,failure,no,1,long_ago,few_times,failure
45,blue-collar,married,secondary,no,1678,yes,no,unknown,18,nov,1,154,1,failure,no,1,long_ago,contacted_once,failure
34,management,divorced,tertiary,no,5754,yes,no,cellular,18,nov,1,181,1,failure,no,1,long_ago,contacted_once,failure
52,admin.,divorced,secondary,no,2717,no,no,telephone,18,nov,1,162,2,failure,no,1,long_ago,few_times,failure
