age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome
31;entrepreneur;married;tertiary;no;653;no;no;unknown;29;may;4501;29;-1;5;unknown
65;retired;married;primary;no;2386;yes;yes;telephone;14;aug;1785;22;-1;46;unknown
32;retired;married;secondary;no;-1792;yes;no;telephone;8;oct;750;25;809;14;success
89;blue-collar;divorced;secondary;yes;2522;no;yes;unknown;9;sep;1762;13;-1;31;unknown
79;blue-collar;divorced;unknown;no;1240;yes;no;unknown;22;may;3920;18;472;10;failure
57;unknown;married;secondary;no;2326;yes;yes;unknown;11;jul;4460;33;956;22;success
70;unknown;married;unknown;no;2336;no;no;telephone;23;may;481;16;-1;25;unknown
41;management;single;primary;no;-5856;no;yes;unknown;1;may;153;45;414;33;failure
43;blue-collar;married;tertiary;no;-1203;yes;yes;unknown;14;oct;1524;42;-1;45;success
77;technician;single;tertiary;no;1174;yes;no;cellular;5;jan;2120;44;532;33;unknown
58;services;married;primary;no;1333;yes;no;cellular;21;feb;2343;2;-1;28;success
46;blue-collar;single;tertiary;no;2278;yes;no;telephone;26;may;1240;35;-1;3;other
32;student;divorced;primary;no;2407;yes;no;unknown;14;jan;60;42;-1;16;failure
62;blue-collar;married;primary;no;6048;yes;yes;unknown;4;apr;938;34;322;34;failure
82;services;married;primary;no;2437;yes;no;cellular;22;jun;1639;30;-1;12;unknown
88;admin.;married;tertiary;no;560;yes;yes;telephone;23;may;4120;13;-1;40;success
26;technician;married;unknown;no;-3297;yes;yes;cellular;25;oct;4226;13;341;38;success
18;blue-collar;single;primary;no;-2605;yes;no;cellular;1;sep;3569;18;-1;14;failure
25;retired;married;secondary;no;3106;yes;yes;cellular;22;may;1252;32;-1;28;failure
80;self-employed;divorced;tertiary;no;4681;yes;yes;cellular;23;may;4203;32;-1;28;failure
28;entrepreneur;divorced;primary;no;6124;yes;yes;unknown;19;may;171;35;-1;10;other
25;technician;married;primary;no;-983;no;yes;unknown;8;jun;1458;39;-1;31;failure
52;admin.;divorced;secondary;no;588;yes;no;cellular;15;may;3549;46;650;1;other
52;services;married;unknown;no;2227;no;no;telephone;21;jul;4197;29;-1;46;other
50;entrepreneur;married;unknown;no;7642;no;no;telephone;15;may;2322;49;-1;13;failure
22;management;divorced;unknown;no;1844;yes;no;telephone;9;jun;1636;29;-1;19;other
58;unemployed;married;primary;no;6153;yes;yes;telephone;21;may;3115;44;408;21;unknown
45;blue-collar;divorced;primary;no;2009;yes;yes;cellular;9;may;4090;16;805;10;unknown
24;blue-collar;single;primary;no;4959;yes;no;unknown;10;nov;3004;44;-1;26;other
90;services;married;tertiary;no;4579;no;no;telephone;20;aug;329;47;395;2;failure
89;retired;single;secondary;no;1998;yes;no;cellular;25;mar;3640;10;-1;16;other
29;admin.;divorced;primary;no;-1561;yes;yes;telephone;21;oct;3894;30;100;43;failure
51;technician;single;secondary;no;692;yes;no;telephone;26;may;4107;25;-1;27;other
